epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.0452,1.36291,3.76236,1.88699,0.59825,0.75945,0.5863,0.26404,0.92465,67.6748,1.72508,0.000656566,0.000656566,0.000656566
2,34.3656,1.34244,2.66036,1.81502,0.19991,0.46,0.17255,0.03985,1.46303,25.078,2.07705,0.00131013,0.00131013,0.00131013
3,48.071,1.36415,2.03942,1.81873,0.08285,0.34,0.06419,0.01688,1.94921,60.8333,2.63952,0.0019505,0.0019505,0.0019505
4,61.6187,1.48989,1.74226,1.9292,0.42846,0.30739,0.23887,0.0453,1.45013,4.80426,2.23489,0.0019406,0.0019406,0.0019406
5,75.1956,1.39202,1.50478,1.82773,0.15365,0.35,0.13845,0.0356,2.10863,9.96794,2.78375,0.0019208,0.0019208,0.0019208
6,88.8604,1.33329,1.37581,1.78344,0.43253,0.74697,0.42453,0.14553,1.33252,30.6908,2.4108,0.001901,0.001901,0.001901
7,102.629,1.29653,1.1905,1.7493,0.67062,0.89,0.81147,0.31229,1.25074,50.4643,2.03715,0.0018812,0.0018812,0.0018812
8,116.165,1.26457,1.19193,1.71122,0.04287,0.58,0.15555,0.0279,1.31072,2.87627,2.22411,0.0018614,0.0018614,0.0018614
9,130.612,1.23762,1.0887,1.70729,0.56853,0.79059,0.78156,0.48792,0.80974,52.4695,1.41207,0.0018416,0.0018416,0.0018416
10,143.993,1.28304,1.18536,1.70476,0.44139,0.88,0.4937,0.27734,0.75621,45.3726,1.3198,0.0018218,0.0018218,0.0018218
11,157.975,1.17974,1.07674,1.66214,0.56857,0.72486,0.74586,0.45721,0.89227,32.8099,1.52729,0.001802,0.001802,0.001802
12,171.028,1.13684,1.00806,1.60655,0.99835,0.94,0.98533,0.61756,0.78143,1.33194,1.28371,0.0017822,0.0017822,0.0017822
13,185.2,1.09658,0.96723,1.55988,0.93438,0.99682,0.99105,0.68125,0.71159,0.57213,1.20523,0.0017624,0.0017624,0.0017624
14,198.875,1.15329,1.00084,1.63443,0.98454,1,0.9947,0.72185,0.70876,0.72179,1.2351,0.0017426,0.0017426,0.0017426
15,212.728,1.08524,0.94845,1.54109,0.99651,1,0.995,0.64713,0.88005,0.66756,1.55954,0.0017228,0.0017228,0.0017228
16,226.182,1.02898,0.8371,1.51615,0.33125,0.72,0.32135,0.08998,1.80334,24.0574,2.94185,0.001703,0.001703,0.001703
17,239.639,1.04316,0.87894,1.53871,0.98516,1,0.995,0.72409,0.60045,3.60295,1.10631,0.0016832,0.0016832,0.0016832
18,253.447,1.01774,0.81306,1.53703,0.8896,0.96,0.95613,0.46737,1.09922,11.7541,1.63689,0.0016634,0.0016634,0.0016634
19,267.586,1.054,0.89025,1.56261,0.76734,0.95,0.91319,0.53843,0.7192,21.0919,1.20582,0.0016436,0.0016436,0.0016436
20,281.542,1.01803,0.82609,1.50548,0.89299,0.91,0.9225,0.46835,1.06142,1.34604,1.66812,0.0016238,0.0016238,0.0016238
21,295.125,0.93462,0.79297,1.45212,0.99761,0.99,0.9949,0.67118,0.87312,0.55893,1.59507,0.001604,0.001604,0.001604
22,309.124,0.99555,0.83222,1.49049,0.98984,1,0.9948,0.67326,0.77139,0.58127,1.36002,0.0015842,0.0015842,0.0015842
23,323.147,0.97052,0.75551,1.46566,0.93515,1,0.99083,0.64352,0.73121,3.24178,1.25675,0.0015644,0.0015644,0.0015644
24,336.722,0.95034,0.81458,1.45231,0.99779,1,0.995,0.69466,0.60571,0.56295,1.11924,0.0015446,0.0015446,0.0015446
25,350.47,0.99881,0.76532,1.48974,0.99899,1,0.995,0.64581,0.65026,0.46191,1.12491,0.0015248,0.0015248,0.0015248
26,363.935,0.95784,0.772,1.48205,0.98573,1,0.995,0.66172,0.79619,1.60859,1.35428,0.001505,0.001505,0.001505
27,378.19,0.91578,0.73471,1.4409,0.95023,0.98,0.9927,0.69273,0.86383,23.8758,1.52179,0.0014852,0.0014852,0.0014852
28,391.509,0.93346,0.76475,1.44037,0.94394,1,0.99073,0.73058,0.63454,5.29347,1.16907,0.0014654,0.0014654,0.0014654
29,405.675,0.84604,0.7013,1.38948,0.99935,1,0.995,0.79939,0.50209,0.3792,0.89031,0.0014456,0.0014456,0.0014456
30,419.579,0.85207,0.70345,1.38152,0.9658,1,0.995,0.76646,0.54481,2.2661,0.98423,0.0014258,0.0014258,0.0014258
31,433.288,0.85471,0.7244,1.38696,0.9985,1,0.995,0.77041,0.58718,0.51045,1.05187,0.001406,0.001406,0.001406
32,447.94,0.86257,0.67918,1.40194,0.99939,1,0.995,0.77812,0.50689,0.3375,0.95672,0.0013862,0.0013862,0.0013862
33,461.869,0.86113,0.6785,1.39429,0.99932,1,0.995,0.79434,0.5127,0.32327,0.92682,0.0013664,0.0013664,0.0013664
34,475.448,0.78835,0.61433,1.33241,0.98851,1,0.995,0.81071,0.5206,1.15254,0.96817,0.0013466,0.0013466,0.0013466
35,489.534,0.78966,0.61545,1.32689,0.99887,1,0.995,0.80524,0.48701,0.44721,0.91341,0.0013268,0.0013268,0.0013268
36,504.84,0.81935,0.62297,1.35545,0.99918,1,0.995,0.81969,0.50013,0.32205,0.91621,0.001307,0.001307,0.001307
37,518.353,0.7892,0.6414,1.33495,0.9994,1,0.995,0.78198,0.54381,0.29425,0.94879,0.0012872,0.0012872,0.0012872
38,532.47,0.80877,0.66082,1.32184,0.99919,1,0.995,0.80963,0.51207,0.32645,0.97249,0.0012674,0.0012674,0.0012674
39,546.616,0.83646,0.63419,1.35686,0.99804,1,0.995,0.82985,0.45218,0.27363,0.847,0.0012476,0.0012476,0.0012476
40,561.036,0.78409,0.63103,1.35037,0.99937,1,0.995,0.7927,0.49067,0.33593,0.88396,0.0012278,0.0012278,0.0012278
41,574.208,0.78247,0.61649,1.33776,0.99928,1,0.995,0.8326,0.43389,0.63671,0.80789,0.001208,0.001208,0.001208
42,588.474,0.78209,0.5961,1.32901,0.97382,1,0.9948,0.79657,0.569,2.60783,1.00744,0.0011882,0.0011882,0.0011882
43,602.124,0.75907,0.60897,1.3214,0.9938,0.99,0.9949,0.82039,0.4509,1.55021,0.84381,0.0011684,0.0011684,0.0011684
44,616.227,0.75826,0.59609,1.31643,0.9964,1,0.995,0.83472,0.43223,2.79833,0.82948,0.0011486,0.0011486,0.0011486
45,629.786,0.75458,0.62041,1.31743,0.99937,1,0.995,0.83265,0.43371,0.27416,0.79472,0.0011288,0.0011288,0.0011288
46,643.167,0.74208,0.598,1.29228,0.99925,1,0.995,0.78927,0.54762,0.32201,1.04122,0.001109,0.001109,0.001109
47,656.649,0.78299,0.61277,1.31668,0.99936,1,0.995,0.86226,0.35957,0.28343,0.72453,0.0010892,0.0010892,0.0010892
48,669.953,0.73675,0.56675,1.2904,0.99916,1,0.995,0.79457,0.49771,0.38587,0.89559,0.0010694,0.0010694,0.0010694
49,684.187,0.7211,0.5886,1.29271,0.99933,1,0.995,0.85298,0.37997,0.35069,0.76597,0.0010496,0.0010496,0.0010496
50,697.299,0.74995,0.57464,1.31398,0.99929,1,0.995,0.84729,0.4462,0.39217,0.83622,0.0010298,0.0010298,0.0010298
51,711.245,0.74986,0.58199,1.292,0.99889,1,0.995,0.85964,0.39084,0.37495,0.76071,0.00101,0.00101,0.00101
52,724.872,0.69222,0.52486,1.25637,0.99935,1,0.995,0.85771,0.37877,0.2836,0.75445,0.0009902,0.0009902,0.0009902
53,738.674,0.7036,0.54944,1.26392,0.99942,1,0.995,0.84125,0.46497,0.28485,0.86913,0.0009704,0.0009704,0.0009704
54,751.827,0.69516,0.55959,1.2741,0.99927,1,0.995,0.80775,0.41181,0.55626,0.78162,0.0009506,0.0009506,0.0009506
55,765.477,0.71197,0.56466,1.26997,0.99413,1,0.995,0.81729,0.56549,0.38648,0.9651,0.0009308,0.0009308,0.0009308
